date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:40	44182/44182	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:53:48%20GMT	http://themexriver.com/industrial-demo/assets/images/blog-details/img-2.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog-details/img-2.jpg	(from http://themexriver.com/industrial-demo/blog-details.html)
15:13:43	28829/28829	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202017%2016:50:10%20GMT	http://themexriver.com/industrial-demo/assets/images/projects/img-5.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/projects/img-5.jpg	(from http://themexriver.com/industrial-demo/index.html)
15:13:46	37045/37045	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2025%20Jul%202016%2021:53:30%20GMT	http://themexriver.com/industrial-demo/assets/js/bootstrap.min.js	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/js/bootstrap.min.js	(from http://themexriver.com/industrial-demo/index.html)
15:13:52	72814/72814	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Nov%202017%2018:31:16%20GMT	http://themexriver.com/industrial-demo/assets/images/blog/img-2.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog/img-2.jpg	(from http://themexriver.com/industrial-demo/index.html)
15:13:54	154789/154789	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Jan%202018%2017:51:02%20GMT	http://themexriver.com/industrial-demo/assets/images/blog-details/img-1.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/blog-details/img-1.jpg	(from http://themexriver.com/industrial-demo/blog-details.html)
15:13:56	134634/134634	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Nov%202017%2016:51:48%20GMT	http://themexriver.com/industrial-demo/assets/images/slider/slide-2.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/slider/slide-2.jpg	(from http://themexriver.com/industrial-demo/index.html)
15:14:00	31962/31962	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202018%2022:44:20%20GMT	http://themexriver.com/industrial-demo/assets/images/services/img-5.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/services/img-5.jpg	(from http://themexriver.com/industrial-demo/services.html)
15:14:00	45149/45149	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202018%2018:23:58%20GMT	http://themexriver.com/industrial-demo/assets/images/services-s3/img-5.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/services-s3/img-5.jpg	(from http://themexriver.com/industrial-demo/index-3.html)
15:14:01	152796/152796	---MCZ	200	added ('OK')	text/plain	date:Mon,%2025%20Jul%202016%2019:45:46%20GMT	http://themexriver.com/industrial-demo/assets/fonts/fontawesome-webfont.ttf?v=4.6.3	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/fonts/fontawesome-webfont5b62.ttf	(from http://themexriver.com/industrial-demo/assets/css/font-awesome.min.css)
15:14:01	31545/31545	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jan%202018%2022:45:10%20GMT	http://themexriver.com/industrial-demo/assets/images/services/img-6.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/services/img-6.jpg	(from http://themexriver.com/industrial-demo/services.html)
15:14:01	10668/10668	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Apr%202017%2019:29:54%20GMT	http://themexriver.com/industrial-demo/assets/images/shop/img-4.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/shop/img-4.jpg	(from http://themexriver.com/industrial-demo/shop.html)
15:14:02	6927/6927	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Apr%202017%2019:31:34%20GMT	http://themexriver.com/industrial-demo/assets/images/shop/img-10.jpg	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/images/shop/img-10.jpg	(from http://themexriver.com/industrial-demo/shop.html)
15:14:02	9106/9106	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Jan%202018%2012:35:08%20GMT	http://themexriver.com/industrial-demo/assets/fonts/Flaticon.eot	D:/vidya%20project/Template/Calibre%20Template/themexriver.com/industrial-demo/assets/fonts/Flaticon.eot	(from http://themexriver.com/industrial-demo/assets/css/flaticon.css)
